epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.1416,1.9407,5.56511,0.73279,2.58384,2.33575,0.62804,0.67539,0.71104,0.42406,0.27951,0.34444,0.17249,0.02805,1.49366,4.89848,0.6526,1.33532,2.05479,0.00038,0.00038,0.00038
2,38.9898,1.37007,4.20302,0.65712,1.02343,1.64587,0.14657,0.42222,0.10426,0.02682,0.0072,0.06667,0.00311,0.0005,2.82687,7.46665,1.11536,11.9165,9.57515,0.000779035,0.000779035,0.000779035
3,48.9037,1.53549,4.10659,0.63084,1.17177,1.76708,0.01084,0.45556,0.00693,0.00183,0.00111,0.31111,0.00035,4e-05,nan,nan,nan,nan,nan,0.00117708,0.00117708,0.00117708
4,58.4919,1.39239,4.18828,0.63494,1.06431,1.64879,0.00141,0.27778,0.00055,0.00011,0.00109,0.22222,0.00042,9e-05,nan,nan,nan,nan,nan,0.00157413,0.00157413,0.00157413
5,67.4789,1.52962,3.94003,0.61352,1.1569,1.73335,0.00075,0.05556,6e-05,2e-05,0.00152,0.13333,0.00027,5e-05,nan,nan,nan,nan,nan,0.0019702,0.0019702,0.0019702
6,76.3298,1.43,3.75746,0.60158,1.15519,1.70443,0.04869,0.28889,0.03429,0.00855,0.00402,0.11111,0.001,0.00016,3.19114,9.68594,1.50922,76.5923,12.0032,0.00198762,0.00198762,0.00198762
7,93.4661,1.45236,3.4542,0.61018,1.10249,1.63686,0.00139,0.3,0.00061,0.0001,0.00349,0.75556,0.00335,0.00112,nan,nan,nan,nan,nan,0.00198515,0.00198515,0.00198515
8,113.121,1.34857,3.55316,0.59207,1.05828,1.61504,0.00896,0.28889,0.00368,0.00114,0.01586,0.51111,0.00969,0.00237,nan,nan,nan,nan,nan,0.00198268,0.00198268,0.00198268
9,128.608,1.30473,3.4516,0.57356,0.98315,1.55263,0.25926,0.15556,0.12572,0.05436,0.09882,0.35556,0.08902,0.0172,2.18492,4.84348,0.23373,18.9186,3.1443,0.0019802,0.0019802,0.0019802
10,140.573,1.32721,3.36948,0.55787,0.98166,1.5703,0.17073,0.31111,0.10679,0.02333,0.02405,0.11111,0.01145,0.00188,nan,nan,nan,nan,nan,0.00197773,0.00197773,0.00197773
11,146.484,1.30589,3.22131,0.55153,0.99841,1.55294,0.24319,0.55698,0.2766,0.12237,0.15652,0.28889,0.09144,0.01577,1.68081,4.7163,0.07713,7.56306,2.08641,0.00197525,0.00197525,0.00197525
