epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
12,152.266,1.32546,3.27958,0.54697,1.02144,1.57882,0.61535,0.81111,0.7313,0.38252,0.54791,0.72222,0.56992,0.18294,1.50084,3.22354,0.06982,7.99984,2.08186,0.00197277,0.00197277,0.00197277
13,158.254,1.26908,3.1847,0.52125,0.96762,1.55229,0.16477,0.32222,0.12211,0.0346,0.11932,0.23333,0.09834,0.02168,nan,nan,nan,nan,nan,0.0019703,0.0019703,0.0019703
14,164.043,1.24554,3.10014,0.51938,0.89593,1.49111,0.17182,0.4,0.15039,0.06216,0.11254,0.28889,0.07203,0.01117,1.68383,4.08655,0.10818,13.6383,2.21736,0.00196782,0.00196782,0.00196782
15,169.829,1.19956,3.13204,0.49941,0.86045,1.46761,0.87422,0.83333,0.91713,0.56828,0.71746,0.7,0.67412,0.1636,1.30666,3.26333,0.05089,1.55267,1.83627,0.00196535,0.00196535,0.00196535
16,175.888,1.19884,3.03635,0.47491,0.85187,1.48539,0.83273,0.9404,0.9608,0.64406,0.87444,0.68889,0.77117,0.21448,1.18392,3.12394,0.07363,0.97016,1.62219,0.00196287,0.00196287,0.00196287
17,181.859,1.20997,3.0625,0.48505,0.85702,1.4738,0.86847,0.8804,0.91112,0.58506,0.75994,0.77384,0.71748,0.16403,1.17419,3.25386,0.03633,1.81171,1.70731,0.0019604,0.0019604,0.0019604
18,187.523,1.26402,3.08121,0.48733,0.88163,1.53131,0.74704,0.78889,0.82266,0.52126,0.55317,0.76667,0.65455,0.20351,1.22411,2.91614,0.11276,2.91757,1.70758,0.00195793,0.00195793,0.00195793
19,193.173,1.12198,3.03653,0.47941,0.81257,1.44091,0.87681,0.87778,0.95924,0.60558,0.86882,0.80948,0.83034,0.31893,1.21156,2.48978,0.12345,1.37616,1.79083,0.00195545,0.00195545,0.00195545
20,199.03,1.15158,2.82062,0.47484,0.81353,1.43128,0.82138,0.91111,0.92197,0.59666,0.63764,0.74298,0.60622,0.19525,1.20442,2.94014,0.07229,1.409,1.66511,0.00195298,0.00195298,0.00195298
21,204.672,1.13681,2.75503,0.46942,0.80448,1.43382,0.91787,0.81111,0.90653,0.62718,0.7176,0.56667,0.55993,0.10569,1.09294,3.50357,0.13913,2.53204,1.6014,0.0019505,0.0019505,0.0019505
22,210.312,1.1925,2.99482,0.47784,0.83454,1.48964,0.96415,0.97778,0.98065,0.57234,0.66921,0.67778,0.53714,0.11947,1.25493,3.52658,0.07975,0.93515,1.8291,0.00194803,0.00194803,0.00194803
23,215.974,1.16284,2.85401,0.47292,0.83196,1.46064,0.87405,0.92527,0.94792,0.62302,0.77149,0.75556,0.70485,0.17796,1.13026,3.65176,0.07313,1.29413,1.60315,0.00194555,0.00194555,0.00194555
24,221.659,1.18439,2.75603,0.46057,0.84593,1.45836,0.91956,0.88917,0.9638,0.66499,0.89241,0.78889,0.83942,0.24611,1.07372,2.77741,0.10029,1.63119,1.56132,0.00194307,0.00194307,0.00194307
25,227.317,1.14375,2.88063,0.43195,0.79925,1.42711,0.83809,0.92026,0.93054,0.65282,0.61727,0.67778,0.51983,0.14201,1.09704,3.56805,0.03171,2.66673,1.49632,0.0019406,0.0019406,0.0019406
26,232.995,1.14854,2.69142,0.46894,0.8325,1.4425,0.87429,0.93333,0.93533,0.59572,0.86639,0.86667,0.88668,0.34763,1.15336,2.41011,0.14003,1.23379,1.68653,0.00193813,0.00193813,0.00193813
27,238.914,1.07612,2.72997,0.44199,0.75865,1.39723,0.97613,0.97778,0.98673,0.6622,0.80424,0.77778,0.69601,0.15962,1.12102,3.13425,0.09459,0.70034,1.6145,0.00193565,0.00193565,0.00193565
28,244.556,1.12262,2.7631,0.45365,0.79628,1.44361,0.92613,0.93333,0.98169,0.64409,0.62575,0.64444,0.57984,0.13937,1.23497,3.29494,0.16696,0.75174,1.61112,0.00193318,0.00193318,0.00193318
29,250.193,1.1094,2.64278,0.42324,0.74912,1.4021,0.85538,0.85439,0.91695,0.58311,0.71602,0.7,0.71727,0.17365,1.26542,3.43722,0.19863,0.92283,1.67848,0.0019307,0.0019307,0.0019307
30,255.832,1.09463,2.54261,0.43211,0.74006,1.39993,0.95491,0.96667,0.99027,0.70011,0.88955,0.9,0.88313,0.24632,1.07275,2.64055,0.11329,0.68478,1.42812,0.00192823,0.00192823,0.00192823
31,261.669,1.07796,2.59045,0.41922,0.7518,1.38178,0.98694,0.95556,0.9928,0.69205,0.94731,0.91111,0.94333,0.33945,1.1084,2.2694,0.06681,0.6672,1.4948,0.00192575,0.00192575,0.00192575
32,267.492,1.06908,2.54706,0.44093,0.71145,1.37443,0.94734,0.99934,0.99123,0.70745,0.88416,0.93289,0.89183,0.26365,1.01482,2.69165,0.07622,0.6216,1.48326,0.00192328,0.00192328,0.00192328
33,273.131,1.12071,2.67287,0.39895,0.7734,1.4053,0.95371,0.98889,0.98942,0.70293,0.79898,0.85556,0.78369,0.22178,0.99649,2.91339,0.08,0.60167,1.45775,0.0019208,0.0019208,0.0019208
34,278.776,1.10301,2.61561,0.40526,0.74964,1.37863,0.94506,0.95571,0.99133,0.67748,0.89074,0.90585,0.91061,0.30321,1.08189,2.4907,0.05231,1.36692,1.55431,0.00191833,0.00191833,0.00191833
35,284.465,1.04929,2.62173,0.40537,0.71788,1.35199,0.94326,0.92357,0.96965,0.69305,0.89885,0.86667,0.89417,0.35915,1.08513,2.31131,0.08608,0.85931,1.4511,0.00191585,0.00191585,0.00191585
36,290.333,1.08733,2.42043,0.40958,0.71766,1.38668,0.99909,0.93333,0.9773,0.67803,0.91563,0.85556,0.86338,0.3166,1.07825,2.46259,0.09518,0.65076,1.50864,0.00191338,0.00191338,0.00191338
37,296.026,1.07899,2.61634,0.40902,0.74723,1.37703,0.89767,0.97475,0.97564,0.66156,0.82307,0.91111,0.83979,0.34768,1.06416,2.29277,0.08251,0.80802,1.49171,0.0019109,0.0019109,0.0019109
38,301.734,1.06298,2.44465,0.4153,0.73687,1.39753,0.97241,0.92222,0.98673,0.71867,0.88358,0.83333,0.88404,0.31604,1.00892,2.46452,0.0919,0.61782,1.4205,0.00190843,0.00190843,0.00190843
39,307.456,1.07076,2.54705,0.39372,0.71713,1.38773,0.95397,0.91111,0.97565,0.69209,0.87955,0.83333,0.83903,0.28838,1.00372,2.75884,0.08359,0.73771,1.44748,0.00190595,0.00190595,0.00190595
40,313.186,1.05655,2.44228,0.3915,0.72023,1.37406,0.95515,0.96667,0.98558,0.70066,0.81301,0.82126,0.78977,0.30586,1.00873,2.56352,0.06455,0.58243,1.41565,0.00190348,0.00190348,0.00190348
41,319.067,1.06152,2.37052,0.40728,0.765,1.37517,0.94606,0.97437,0.98879,0.70596,0.88135,0.9,0.88747,0.39835,1.00617,2.31199,0.09316,0.64751,1.4871,0.001901,0.001901,0.001901
42,325.673,1.03226,2.35408,0.40935,0.70071,1.34787,0.93462,0.95556,0.97689,0.6861,0.83646,0.85556,0.82679,0.34844,1.03598,2.09951,0.07291,0.66198,1.49981,0.00189853,0.00189853,0.00189853
43,331.316,1.06837,2.26722,0.39984,0.70766,1.36678,0.93797,0.94444,0.97435,0.68598,0.822,0.76667,0.75794,0.31439,1.05152,2.32924,0.10509,0.70336,1.46283,0.00189605,0.00189605,0.00189605
44,336.968,1.04222,2.4039,0.39041,0.71162,1.37131,0.95717,0.99335,0.99176,0.68938,0.67395,0.71111,0.53352,0.20033,1.03534,2.90058,0.08899,0.65003,1.42026,0.00189357,0.00189357,0.00189357
45,342.643,1.03894,2.27881,0.41298,0.71533,1.31806,0.95232,0.93333,0.98586,0.69766,0.8261,0.81111,0.72843,0.33567,1.04994,2.02061,0.07755,0.64914,1.4737,0.0018911,0.0018911,0.0018911
46,351.577,1.05984,2.16236,0.39347,0.70474,1.37341,0.91843,0.95556,0.98318,0.69035,0.81955,0.8579,0.82825,0.46745,1.01187,1.80623,0.11317,0.81264,1.47474,0.00188863,0.00188863,0.00188863
47,363.572,1.01225,2.1276,0.40843,0.69154,1.35444,0.96691,0.97391,0.98985,0.70072,0.87259,0.9,0.85669,0.54524,1.00056,1.57709,0.1072,0.60674,1.40376,0.00188615,0.00188615,0.00188615
48,390.519,1.05578,2.06613,0.38528,0.71673,1.35981,0.97951,0.97778,0.99323,0.7013,0.89029,0.88889,0.88629,0.61702,1.03584,1.43086,0.08676,0.54618,1.49839,0.00188368,0.00188368,0.00188368
49,420.071,1.03311,2.10073,0.37586,0.68716,1.34712,0.97881,0.96667,0.99241,0.69805,0.92562,0.91111,0.92584,0.57096,1.05843,1.65264,0.1108,0.58792,1.52184,0.0018812,0.0018812,0.0018812
50,437.027,1.02416,2.04895,0.39347,0.70578,1.337,0.98839,0.94594,0.99046,0.73035,0.87331,0.84255,0.83233,0.62432,0.9897,1.311,0.1054,0.55433,1.41861,0.00187872,0.00187872,0.00187872
51,442.868,1.01007,1.96118,0.41385,0.70814,1.35222,0.94725,0.99769,0.99305,0.70009,0.85261,0.89987,0.83906,0.59342,0.99071,1.42532,0.05812,0.54998,1.44567,0.00187625,0.00187625,0.00187625
52,448.51,1.0083,1.9225,0.38237,0.69772,1.32216,0.97584,0.97778,0.9917,0.73167,0.86296,0.86667,0.81058,0.55694,0.9642,1.34089,0.05741,0.55676,1.40679,0.00187378,0.00187378,0.00187378
53,454.146,0.98521,2.07477,0.35718,0.69836,1.29116,0.96562,0.95556,0.99232,0.69451,0.83648,0.91111,0.87168,0.64061,1.03848,1.22654,0.04636,0.56297,1.55684,0.0018713,0.0018713,0.0018713
54,459.795,1.01495,1.87836,0.36883,0.68342,1.3155,0.95105,0.86348,0.96567,0.71013,0.84057,0.76158,0.83729,0.45,0.99103,1.87945,0.11309,0.69479,1.39964,0.00186882,0.00186882,0.00186882
55,465.434,1.00454,1.83506,0.36736,0.70049,1.31755,0.95726,0.99558,0.99082,0.72373,0.91462,0.95229,0.91689,0.61985,0.9492,1.13435,0.10609,0.51991,1.36536,0.00186635,0.00186635,0.00186635
56,471.096,1.00828,1.79009,0.3771,0.66585,1.34221,0.95068,1,0.98918,0.72041,0.95068,1,0.98918,0.76033,1.00209,0.83372,0.07056,0.55427,1.39649,0.00186388,0.00186388,0.00186388
57,476.93,0.98127,1.67916,0.36138,0.64504,1.29623,0.94436,0.98889,0.99038,0.71123,0.89093,0.93333,0.91742,0.71756,1.002,1.00927,0.04513,0.5267,1.40802,0.0018614,0.0018614,0.0018614
58,482.657,0.99817,1.81181,0.36919,0.66667,1.31893,0.92132,0.95556,0.97335,0.7146,0.91061,0.94444,0.96092,0.75295,0.94405,1.03644,0.06712,0.56017,1.40324,0.00185892,0.00185892,0.00185892
59,488.422,0.98094,1.65628,0.36246,0.64458,1.32921,0.93666,0.98582,0.9865,0.70378,0.8819,0.93333,0.92035,0.67518,1.04463,1.17037,0.11515,0.63115,1.43957,0.00185645,0.00185645,0.00185645
60,494.124,0.99522,1.55848,0.354,0.66119,1.34388,0.9441,1,0.98826,0.71377,0.87038,0.92222,0.85977,0.52144,0.9958,1.28127,0.05285,0.53979,1.44768,0.00185397,0.00185397,0.00185397
61,499.789,1.01984,1.58514,0.37041,0.68107,1.35171,0.94571,0.96772,0.99126,0.69912,0.94595,0.97228,0.98541,0.67839,1.0315,1.01188,0.02867,0.51321,1.45939,0.0018515,0.0018515,0.0018515
62,505.441,1.02041,1.73683,0.3838,0.71964,1.33102,0.9414,1,0.99209,0.70198,0.89901,0.95556,0.94342,0.77722,0.99731,0.87913,0.07215,0.49913,1.41593,0.00184903,0.00184903,0.00184903
63,511.086,0.98164,1.61138,0.35051,0.65693,1.3124,0.94239,1,0.99122,0.73532,0.87848,0.93333,0.88747,0.64157,0.97238,1.44024,0.05933,0.5165,1.37618,0.00184655,0.00184655,0.00184655
64,516.765,1.00149,1.72681,0.33675,0.66198,1.34924,0.95586,0.96251,0.98691,0.69594,0.88994,0.89845,0.87222,0.6912,1.03184,1.0608,0.12526,0.548,1.46854,0.00184408,0.00184408,0.00184408
65,522.411,1.01254,1.67177,0.34756,0.68394,1.34558,0.9328,0.97778,0.9898,0.70907,0.89963,0.94444,0.94446,0.74923,1.02063,0.86885,0.0905,0.60311,1.44459,0.0018416,0.0018416,0.0018416
66,528.064,0.98892,1.55999,0.35757,0.64564,1.32949,0.9535,1,0.98923,0.69703,0.9322,0.97778,0.94978,0.80826,1.01128,0.70493,0.04141,0.52112,1.45455,0.00183912,0.00183912,0.00183912
67,533.908,0.97682,1.48793,0.36662,0.63601,1.31093,0.9596,0.98889,0.99261,0.68428,0.88292,0.91111,0.90533,0.73714,0.99016,0.87695,0.06996,0.61401,1.45132,0.00183665,0.00183665,0.00183665
68,539.585,0.98245,1.67236,0.36322,0.64227,1.31047,0.90985,0.96667,0.97448,0.68969,0.88858,0.94444,0.95666,0.77866,1.00984,0.80137,0.04463,0.78091,1.44717,0.00183418,0.00183418,0.00183418
69,545.235,1.02429,1.52642,0.37937,0.67903,1.35186,0.90264,0.98889,0.98583,0.70627,0.88235,0.96667,0.937,0.70856,1.00215,0.92838,0.03268,0.60166,1.43092,0.0018317,0.0018317,0.0018317
70,550.891,0.98689,1.54426,0.36185,0.64078,1.32258,0.95154,0.97778,0.98984,0.73018,0.92922,0.95556,0.96546,0.81232,1.00239,0.69415,0.0563,0.47228,1.35251,0.00182923,0.00182923,0.00182923
71,556.939,0.97652,1.43035,0.34353,0.66484,1.30464,0.96679,0.97778,0.99075,0.67814,0.95625,0.97135,0.9786,0.80282,1.01304,0.70981,0.11133,0.50484,1.49128,0.00182675,0.00182675,0.00182675
72,562.895,0.95184,1.55435,0.35552,0.64382,1.29419,0.96333,0.97778,0.99258,0.71709,0.92652,0.97778,0.96651,0.82638,1.00593,0.72091,0.03307,0.47138,1.43027,0.00182428,0.00182428,0.00182428
73,569.145,0.9815,1.44274,0.35181,0.65346,1.31385,0.98858,0.96211,0.99339,0.69744,0.95439,0.93004,0.94312,0.74589,1.0031,0.83664,0.0669,0.51358,1.4585,0.0018218,0.0018218,0.0018218
74,575.03,0.95069,1.45746,0.3602,0.6284,1.28408,0.97387,0.98889,0.99394,0.70806,0.95198,0.96667,0.96096,0.785,0.98879,0.84803,0.08223,0.48903,1.42727,0.00181932,0.00181932,0.00181932
75,580.935,0.9925,1.50822,0.35031,0.66042,1.29817,0.98503,0.98889,0.99434,0.71214,0.97384,0.97778,0.9796,0.83269,1.00795,0.64956,0.03112,0.46573,1.46456,0.00181685,0.00181685,0.00181685
76,587.181,0.98883,1.48682,0.33943,0.66157,1.33033,0.95153,0.98889,0.99188,0.73641,0.94055,0.97778,0.9704,0.87072,0.95343,0.57991,0.05732,0.47446,1.38582,0.00181438,0.00181438,0.00181438
77,593.315,0.96685,1.38211,0.32947,0.65676,1.28462,0.9522,0.97778,0.98849,0.70697,0.94138,0.96667,0.9775,0.84126,0.95952,0.60774,0.03753,0.49635,1.40771,0.0018119,0.0018119,0.0018119
78,599.187,0.94894,1.48135,0.34288,0.65192,1.31124,0.95579,0.96098,0.98987,0.73634,0.90057,0.90575,0.91,0.73246,0.95575,0.80331,0.05288,0.52506,1.36489,0.00180943,0.00180943,0.00180943
79,605.041,0.96776,1.41279,0.34324,0.66663,1.33312,0.93555,0.98889,0.99032,0.71948,0.91208,0.96667,0.97009,0.83204,0.96346,0.67909,0.05569,0.58135,1.36188,0.00180695,0.00180695,0.00180695
80,610.915,0.97406,1.45438,0.34636,0.626,1.30082,0.92518,1,0.98967,0.70683,0.86351,0.93333,0.88328,0.74413,0.97715,0.879,0.03471,0.56049,1.41033,0.00180448,0.00180448,0.00180448
81,616.766,0.95119,1.479,0.33182,0.64823,1.29523,0.94767,0.96667,0.98573,0.72518,0.87268,0.91395,0.90664,0.73925,0.9846,0.86655,0.02716,0.51757,1.38169,0.001802,0.001802,0.001802
82,622.588,1.00014,1.32737,0.34067,0.63465,1.31236,0.96148,0.95556,0.98686,0.71583,0.90511,0.95383,0.93742,0.82962,0.966,0.73099,0.08557,0.50311,1.4185,0.00179952,0.00179952,0.00179952
83,628.435,1.00887,1.3101,0.33576,0.66616,1.32521,0.94024,0.96667,0.97942,0.69097,0.87226,0.84444,0.85293,0.69302,1.02253,1.16896,0.11146,0.53727,1.43434,0.00179705,0.00179705,0.00179705
84,634.287,0.97145,1.46437,0.33599,0.6687,1.33078,0.96731,0.98625,0.99284,0.71323,0.91283,0.93085,0.92532,0.83896,0.99462,0.71395,0.04077,0.69403,1.39376,0.00179458,0.00179458,0.00179458
85,640.138,0.95395,1.16461,0.31291,0.64114,1.27787,0.95596,1,0.992,0.71433,0.9346,0.97778,0.95968,0.85051,1.0317,0.53901,0.04224,0.58023,1.41671,0.0017921,0.0017921,0.0017921
86,646.038,0.9465,1.35604,0.31272,0.61531,1.27295,0.93675,0.98744,0.99029,0.72373,0.90515,0.95431,0.93549,0.67924,1.01985,0.7267,0.08571,0.50864,1.40321,0.00178962,0.00178962,0.00178962
87,651.898,0.96818,1.36491,0.34748,0.64007,1.29924,0.95734,0.99751,0.9937,0.68557,0.9147,0.95323,0.92983,0.69914,1.01923,0.75506,0.0437,0.50103,1.47444,0.00178715,0.00178715,0.00178715
88,657.812,0.94263,1.28263,0.33162,0.61879,1.27679,0.96432,0.98889,0.98847,0.72073,0.92072,0.94444,0.93073,0.80468,0.96445,0.64083,0.05272,0.51714,1.39476,0.00178468,0.00178468,0.00178468
89,663.707,0.92558,1.3018,0.31338,0.62124,1.28367,0.96357,0.98889,0.98859,0.71793,0.90943,0.93333,0.92188,0.80842,0.96209,0.6288,0.03431,0.4807,1.40568,0.0017822,0.0017822,0.0017822
90,669.572,0.95187,1.25261,0.34111,0.63387,1.28988,0.96242,0.98889,0.98984,0.71652,0.92904,0.95556,0.95462,0.83435,0.95626,0.52851,0.04612,0.49531,1.39411,0.00177973,0.00177973,0.00177973
91,675.446,0.92909,1.1676,0.31059,0.63042,1.28815,0.90448,0.94444,0.97382,0.72109,0.82994,0.8676,0.85641,0.78486,0.96105,0.77265,0.10766,0.57637,1.35666,0.00177725,0.00177725,0.00177725
92,681.306,0.95103,1.17204,0.29459,0.62648,1.27958,0.96692,0.97438,0.99203,0.72076,0.88986,0.89775,0.88124,0.78066,0.96284,0.68122,0.06449,0.53043,1.36449,0.00177477,0.00177477,0.00177477
93,687.122,0.92485,1.28838,0.32348,0.64965,1.28086,0.9524,1,0.99238,0.72374,0.93109,0.97778,0.95667,0.86162,0.92336,0.53522,0.04742,0.46261,1.36043,0.0017723,0.0017723,0.0017723
94,692.913,0.95566,1.06118,0.27766,0.62803,1.29275,0.96388,1,0.99219,0.72835,0.92092,0.95556,0.93061,0.8316,0.94166,0.54243,0.03249,0.46095,1.35885,0.00176983,0.00176983,0.00176983
95,698.738,0.94868,1.17872,0.3094,0.64621,1.28854,0.95732,0.99699,0.99245,0.75348,0.94665,0.98588,0.97933,0.82009,0.93788,0.67903,0.05483,0.46239,1.3621,0.00176735,0.00176735,0.00176735
96,704.572,0.97266,1.21178,0.30578,0.6186,1.29004,0.95743,0.99959,0.99187,0.71943,0.94679,0.98848,0.97634,0.8716,0.94596,0.56305,0.03574,0.46824,1.39396,0.00176487,0.00176487,0.00176487
97,710.371,0.94491,1.16461,0.27518,0.62664,1.2946,0.96738,0.98889,0.99242,0.71706,0.95641,0.97778,0.97731,0.90952,0.97578,0.45237,0.02713,0.49762,1.39567,0.0017624,0.0017624,0.0017624
98,716.357,0.95428,1.09032,0.2893,0.63024,1.30031,0.94689,0.99058,0.98926,0.72548,0.93131,0.96667,0.95884,0.89284,0.96032,0.48755,0.01871,0.48618,1.3713,0.00175993,0.00175993,0.00175993
99,723.033,0.91717,1.10507,0.31185,0.60232,1.2745,0.95728,0.97778,0.98947,0.71831,0.92465,0.94444,0.9389,0.874,0.95278,0.54907,0.02854,0.47754,1.41164,0.00175745,0.00175745,0.00175745
100,728.793,0.94319,1.17467,0.30081,0.59788,1.25257,0.9867,0.95556,0.99246,0.71923,0.89543,0.95149,0.93016,0.83454,1.01581,0.63354,0.04097,0.4713,1.41696,0.00175497,0.00175497,0.00175497
101,734.554,0.9155,1.07171,0.29966,0.59972,1.27326,0.98577,0.95556,0.99125,0.72845,0.95128,0.92222,0.94705,0.85493,0.95299,0.58075,0.04728,0.69432,1.35306,0.0017525,0.0017525,0.0017525
102,740.317,0.97038,1.08241,0.29324,0.6615,1.28748,0.96733,0.98709,0.98539,0.69162,0.95691,0.98707,0.9686,0.87575,0.98004,0.52156,0.07067,0.51341,1.4407,0.00175003,0.00175003,0.00175003
103,746.063,0.9032,1.05471,0.29414,0.60913,1.25811,0.96548,1,0.99381,0.72582,0.94394,0.97778,0.963,0.86133,0.9838,0.57639,0.09858,0.49742,1.39783,0.00174755,0.00174755,0.00174755
104,751.843,0.92449,1.08383,0.28835,0.59204,1.25972,0.97281,0.98889,0.99002,0.71762,0.92909,0.94444,0.91703,0.84155,1.00595,0.55914,0.05993,0.54504,1.43619,0.00174508,0.00174508,0.00174508
105,761.034,0.87307,1.01767,0.27924,0.57844,1.2301,0.9525,1,0.99012,0.7147,0.94192,0.98889,0.9716,0.87926,0.9874,0.4826,0.04175,0.52758,1.41859,0.0017426,0.0017426,0.0017426
106,770.395,0.93248,1.07414,0.27669,0.61764,1.28728,0.95608,0.98889,0.98941,0.73187,0.9238,0.95556,0.93727,0.86965,0.97326,0.43793,0.04996,0.44048,1.36869,0.00174013,0.00174013,0.00174013
107,782.194,0.92699,1.09455,0.2779,0.60579,1.26326,0.95288,0.97778,0.98255,0.72426,0.93447,0.96667,0.94732,0.8634,0.93497,0.45412,0.03617,0.4462,1.35501,0.00173765,0.00173765,0.00173765
108,795.648,0.9242,1.02073,0.30969,0.60275,1.26297,0.92742,1,0.97296,0.72405,0.93623,0.97878,0.95425,0.87344,0.96286,0.4533,0.09281,0.47976,1.35422,0.00173518,0.00173518,0.00173518
109,808.079,0.91789,0.9029,0.28286,0.60826,1.27113,0.95718,0.99363,0.98934,0.72606,0.93579,0.97162,0.95307,0.8985,0.94966,0.42843,0.05801,0.45684,1.36188,0.0017327,0.0017327,0.0017327
110,823.549,0.95441,0.96916,0.26322,0.61404,1.2853,0.95604,0.96659,0.98572,0.72917,0.93399,0.94444,0.95541,0.89674,1.00547,0.4054,0.02933,0.53422,1.35686,0.00173023,0.00173023,0.00173023
111,830.089,0.94169,1.03859,0.27647,0.62771,1.27868,0.9467,0.98669,0.98855,0.70048,0.91473,0.95358,0.94985,0.86565,0.98202,0.61282,0.04752,0.56577,1.42029,0.00172775,0.00172775,0.00172775
112,835.731,0.93893,1.2148,0.29599,0.60574,1.27154,0.92898,0.96667,0.97767,0.71999,0.90183,0.94444,0.93886,0.88,0.93555,0.43743,0.04624,0.52537,1.34314,0.00172527,0.00172527,0.00172527
113,841.39,0.90274,0.95642,0.28468,0.5886,1.2362,0.93735,0.99741,0.98391,0.71428,0.92692,0.98648,0.9679,0.88601,0.96901,0.39473,0.04389,0.52493,1.41689,0.0017228,0.0017228,0.0017228
114,847.046,0.90553,1.0483,0.27884,0.58364,1.24942,0.96687,0.97291,0.99176,0.72918,0.94484,0.95159,0.96377,0.88947,0.97777,0.44021,0.02895,0.4716,1.37433,0.00172033,0.00172033,0.00172033
115,852.684,0.93224,0.95563,0.27192,0.59375,1.26008,0.97048,0.97778,0.99271,0.73964,0.92565,0.93333,0.94767,0.87706,0.92218,0.46126,0.05434,0.42247,1.36158,0.00171785,0.00171785,0.00171785
116,858.326,0.88894,0.96263,0.2616,0.58165,1.23243,0.95829,1,0.99069,0.7282,0.93664,0.97778,0.9615,0.91795,0.95062,0.40789,0.0325,0.44627,1.33878,0.00171537,0.00171537,0.00171537
117,864.175,0.90514,0.87563,0.26007,0.59393,1.25735,0.96624,1,0.9844,0.75415,0.94476,0.97778,0.95334,0.90769,0.88214,0.38981,0.05417,0.47635,1.30212,0.0017129,0.0017129,0.0017129
118,869.997,0.91928,1.04215,0.25337,0.59078,1.25609,0.92783,0.99995,0.98103,0.7275,0.90712,0.97778,0.94087,0.87521,0.89209,0.41227,0.02538,0.47625,1.3428,0.00171043,0.00171043,0.00171043
119,875.645,0.89466,0.91821,0.2492,0.60117,1.24499,0.95383,1,0.99091,0.72686,0.94323,0.98889,0.97666,0.91429,0.97151,0.39521,0.05938,0.46219,1.39689,0.00170795,0.00170795,0.00170795
120,881.29,0.90616,1.05037,0.25996,0.58922,1.26486,0.96762,0.99627,0.9902,0.73278,0.94605,0.97422,0.96269,0.91813,0.98228,0.35993,0.03118,0.45529,1.39656,0.00170548,0.00170548,0.00170548
