epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.6119,1.78431,5.17664,0.72688,2.11767,2.12207,0.01902,0.28,0.02152,0.00362,0.1852,0.02,0.00396,0.0004,2.67821,6.572,0.59433,4.07828,3.78067,0.00048,0.00048,0.00048
2,32.7713,1.43979,4.26414,0.64556,1.08503,1.68954,0.01087,0.02,0.00037,4e-05,0,0,0,0,nan,nan,nan,nan,nan,0.000977575,0.000977575,0.000977575
3,39.3252,1.50931,4.12069,0.63918,1.18282,1.72993,0.00227,0.22,0.0009,0.00015,0,0,0,0,nan,nan,nan,nan,nan,0.00147267,0.00147267,0.00147267
4,45.7715,1.51679,4.01346,0.62573,1.17345,1.71862,0.00256,0.02,7e-05,1e-05,0,0,0,0,nan,nan,nan,nan,nan,0.0019653,0.0019653,0.0019653
5,52.147,1.46227,3.78451,0.60638,1.12079,1.68422,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,0.0019802,0.0019802,0.0019802
6,58.5569,1.41632,3.68264,0.59191,1.03907,1.63389,0.04023,0.56,0.03531,0.00827,0.00794,0.22,0.00345,0.00053,2.87383,8.33463,0.03454,214.231,4.49047,0.00197525,0.00197525,0.00197525
7,65.152,1.40879,3.70934,0.57616,1.05871,1.60589,0.3125,0.1,0.08999,0.02718,0.06881,0.14,0.03797,0.00705,2.95627,6.78411,0.06997,12.0633,5.25787,0.0019703,0.0019703,0.0019703
8,71.8177,1.32719,3.3742,0.566,1.0103,1.55924,0.14819,0.16,0.11369,0.06941,0.16973,0.2,0.18621,0.04839,2.6778,3.36694,0.04178,5.13135,3.72538,0.00196535,0.00196535,0.00196535
9,78.3939,1.29205,3.51062,0.54132,0.98202,1.54889,0.30752,0.54,0.49212,0.25689,0.23542,0.44,0.22797,0.03743,1.46007,4.05796,0.0713,8.64998,2.06203,0.0019604,0.0019604,0.0019604
10,85.0173,1.27931,3.28167,0.53759,0.95204,1.5394,0.2466,0.54,0.26903,0.11227,0.04347,0.1,0.00749,0.00127,1.9214,6.77763,0.16893,8.66444,2.78462,0.00195545,0.00195545,0.00195545
11,94.7758,1.27907,3.17613,0.5305,1.00013,1.52863,0.0818,0.22,0.06193,0.02316,0.06205,0.16,0.04747,0.01241,2.42432,4.83887,0.0802,21.5647,3.22621,0.0019505,0.0019505,0.0019505
12,105.234,1.22511,3.12335,0.51556,0.88786,1.48371,0.86206,0.8,0.88308,0.52957,0.81896,0.76,0.84068,0.19015,1.1998,3.30149,0.05338,3.44525,1.81634,0.00194555,0.00194555,0.00194555
13,125.524,1.24079,3.01881,0.5044,0.94291,1.51001,0.70927,0.58559,0.6678,0.46957,0.54771,0.44,0.43595,0.12837,1.21589,4.03333,0.07886,3.41188,1.67637,0.0019406,0.0019406,0.0019406
14,138.315,1.23458,2.97422,0.47308,0.92452,1.50004,0.93531,0.86756,0.94489,0.61534,0.84905,0.78756,0.79152,0.29532,1.20108,2.69409,0.03433,2.23877,1.73478,0.00193565,0.00193565,0.00193565
15,156.874,1.29641,3.12739,0.48625,0.9273,1.53645,0.82732,0.84,0.89262,0.51719,0.82438,0.84,0.88891,0.38987,1.28662,2.56387,0.09098,1.65128,1.77844,0.0019307,0.0019307,0.0019307
16,163.335,1.22457,2.8337,0.49128,0.89688,1.49889,0.90872,0.84,0.9197,0.61699,0.75898,0.68,0.69583,0.19613,1.08218,3.54476,0.09883,1.58601,1.59498,0.00192575,0.00192575,0.00192575
17,169.703,1.14852,3.01775,0.4948,0.82059,1.41741,0.97689,0.8454,0.91833,0.62791,0.82795,0.8,0.77388,0.21028,1.1099,3.3455,0.1865,0.89411,1.55018,0.0019208,0.0019208,0.0019208
18,176.122,1.13652,3.03888,0.46846,0.81337,1.41963,0.7028,0.76,0.81356,0.56928,0.63654,0.76,0.75235,0.21687,1.03025,3.0658,0.05047,1.79178,1.58255,0.00191585,0.00191585,0.00191585
19,182.529,1.15381,2.96411,0.46816,0.83148,1.41906,0.9454,0.86,0.89472,0.63217,0.87711,0.8,0.83989,0.3703,1.05825,2.67582,0.07635,1.17359,1.55763,0.0019109,0.0019109,0.0019109
20,189.21,1.16891,2.88929,0.43365,0.85279,1.44149,1,0.95254,0.98081,0.70457,0.95802,0.91299,0.9371,0.40574,0.92635,2.27377,0.0427,0.86667,1.4211,0.00190595,0.00190595,0.00190595
21,195.788,1.15814,2.82372,0.4517,0.79827,1.43562,0.90374,0.96,0.96474,0.69566,0.86357,0.92,0.8902,0.28528,1.0535,2.70436,0.0906,1.13559,1.56535,0.001901,0.001901,0.001901
22,202.2,1.13076,2.74812,0.43955,0.78934,1.41442,0.94313,0.92,0.97521,0.69812,0.92263,0.9,0.93048,0.2606,1.01001,2.83117,0.10203,1.00781,1.54899,0.00189605,0.00189605,0.00189605
23,208.598,1.0993,2.82592,0.42542,0.75674,1.3794,0.90445,0.94666,0.97888,0.70146,0.84442,0.86853,0.89091,0.2729,0.97994,2.86396,0.08064,1.04504,1.45786,0.0018911,0.0018911,0.0018911
24,215.076,1.11305,2.68417,0.40843,0.76229,1.38975,0.83723,0.94,0.92203,0.61461,0.78296,0.86,0.81408,0.24171,0.97131,2.9461,0.13216,1.58167,1.48412,0.00188615,0.00188615,0.00188615
25,221.475,1.11502,2.77895,0.42109,0.8022,1.41694,0.88393,0.98,0.96769,0.65986,0.85005,0.90707,0.87963,0.36641,1.00738,2.41014,0.03941,1.12404,1.48726,0.0018812,0.0018812,0.0018812
