epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.6594,2.43383,5.66609,0.72643,3.07207,2.99826,0.85704,0.79936,0.83778,0.57147,0.05036,0.05556,0.00458,0.00047,1.27211,5.5023,0.68382,1.1796,1.84569,0.00038,0.00038,0.00038
2,59.4771,1.1307,4.85054,0.62017,0.68038,1.58751,0.93123,0.90274,0.9608,0.64929,0.51181,0.46667,0.3673,0.05023,1.18377,4.33828,0.58023,0.85184,1.73824,0.00070278,0.00070278,0.00070278
3,62.9586,1.10359,4.34062,0.58965,0.64219,1.56646,0.95037,0.85119,0.9491,0.63161,0.52047,0.4,0.28556,0.04567,1.10777,4.00532,0.60323,0.70002,1.73641,0.00094636,0.00094636,0.00094636
4,66.3191,1.05949,3.96879,0.56395,0.60412,1.4922,0.75049,0.75556,0.8468,0.58121,0.54916,0.43333,0.40137,0.07271,1.26736,3.91222,0.54474,1.28617,2.00886,0.00111074,0.00111074,0.00111074
5,69.6701,1.03496,3.82086,0.52267,0.60431,1.51803,0.88567,0.86667,0.93905,0.60016,0.7988,0.67778,0.68707,0.14505,1.26193,3.49026,0.48588,0.95294,1.6849,0.00119592,0.00119592,0.00119592
6,73.3161,1.0324,3.48063,0.47387,0.57023,1.47908,0.96618,0.95229,0.96721,0.66055,0.64268,0.66667,0.49828,0.12057,1.12757,3.37029,0.41236,0.61118,1.53167,0.00101,0.00101,0.00101
7,77.2358,1.0048,3.30239,0.39146,0.51042,1.44052,0.97749,0.96667,0.99044,0.66826,0.85283,0.83333,0.78304,0.17705,1.07702,3.06996,0.23862,0.65824,1.59286,0.000812,0.000812,0.000812
8,81.0939,0.96425,3.2182,0.35855,0.49129,1.39686,0.93295,0.92761,0.96212,0.66704,0.83801,0.86667,0.84509,0.25631,1.08368,2.94953,0.30368,0.67203,1.49806,0.000614,0.000614,0.000614
9,84.9418,0.93944,3.15564,0.33796,0.49424,1.40929,1,0.96459,0.99125,0.70529,0.8965,0.86614,0.85151,0.26092,1.02329,2.75841,0.26041,0.47873,1.45329,0.000416,0.000416,0.000416
10,88.8418,0.90208,2.95448,0.32858,0.4404,1.33649,0.98771,0.97778,0.98296,0.72011,0.90877,0.9,0.8617,0.29192,0.99674,2.6096,0.25173,0.45777,1.40491,0.000218,0.000218,0.000218
