epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.9701,2.06971,5.73388,0.71493,2.59499,2.33431,0.84841,0.87778,0.91464,0.51825,0.36285,0.25556,0.197,0.03393,1.5232,4.81284,0.65097,1.18841,2.48854,0.00038,0.00038,0.00038
2,33.1625,1.23764,4.43748,0.71657,0.82287,1.46732,0.40886,0.42268,0.3276,0.14454,0.31386,0.3,0.1906,0.03513,2.17222,4.67912,0.63842,3.3409,2.76208,0.00077807,0.00077807,0.00077807
3,37.0303,1.38817,4.22533,0.69145,0.98084,1.55558,0.0319,0.18889,0.00754,0.00176,0,0,0,0,3.88846,10.2664,7.00696,272.17,76.2244,0.00117416,0.00117416,0.00117416
4,40.8062,1.25554,4.03973,0.68602,0.86137,1.47253,0.00912,0.01111,0.00016,3e-05,0.0184,0.02222,0.00075,0.00011,5.48373,5.16807,0.63791,26.7033,7.57323,0.00156827,0.00156827,0.00156827
5,44.6617,1.41645,3.93851,0.66022,0.97036,1.54738,0.01561,0.03333,0.00183,0.00018,0.02881,0.04444,0.00208,0.00023,5.18438,6.0164,0.72797,145.055,10.3186,0.0019604,0.0019604,0.0019604
6,48.3347,1.31893,3.60345,0.64885,0.88861,1.47776,0.00349,0.13333,0.00066,0.00026,0.00168,0.08889,0.00015,2e-05,3.29177,7.41323,0.59849,inf,12.2303,0.00197525,0.00197525,0.00197525
7,52.0053,1.2649,3.43078,0.64481,0.89625,1.46218,0.01035,0.38889,0.00451,0.00118,0.00444,0.18889,0.00103,0.00014,nan,nan,nan,nan,nan,0.0019703,0.0019703,0.0019703
8,55.7241,1.28584,3.42094,0.64239,0.92648,1.48315,0.19298,0.85556,0.21549,0.08556,0.13283,0.58889,0.10402,0.02055,1.77265,5.64321,0.38767,51.7496,2.52164,0.00196535,0.00196535,0.00196535
9,59.4503,1.25507,3.27136,0.62005,0.86886,1.44181,0.1916,0.81111,0.21025,0.08299,0.06824,0.28889,0.04757,0.00872,1.93893,5.50369,0.26003,57.7088,2.91902,0.0019604,0.0019604,0.0019604
10,63.2056,1.21893,3.23819,0.6035,0.84791,1.42184,0.61404,0.38889,0.5204,0.20858,0.5614,0.35556,0.41768,0.08583,1.71394,4.0227,0.27312,11.9827,2.17646,0.00195545,0.00195545,0.00195545
